Frequency,Elevation,Azimuth
5000000.0,26,90
5000000.0,26,91
5000000.0,28,87
5000000.0,28,88
5000000.0,28,89
5000000.0,28,90
5000000.0,28,91
5000000.0,30,87
5000000.0,30,88
5000000.0,30,89
5000000.0,30,90
5000000.0,30,91
5000000.0,32,87
5000000.0,32,88
5000000.0,32,89
5000000.0,32,90
5000000.0,32,91
5000000.0,34,87
5000000.0,34,88
5000000.0,34,89
5000000.0,34,90
5000000.0,34,91
5000000.0,36,87
5000000.0,36,88
5000000.0,36,89
5000000.0,36,90
5000000.0,36,91
5000000.0,38,87
5000000.0,38,88
5000000.0,38,89
5000000.0,38,90
5000000.0,38,91
5000000.0,40,87
5000000.0,40,88
5000000.0,40,89
5000000.0,40,90
5000000.0,40,91
6000000.0,0,87
6000000.0,0,88
6000000.0,0,89
6000000.0,0,90
6000000.0,0,91
6000000.0,2,87
6000000.0,2,88
6000000.0,2,89
6000000.0,2,90
6000000.0,2,91
6000000.0,4,87
6000000.0,4,88
6000000.0,4,89
6000000.0,4,90
6000000.0,4,91
6000000.0,6,87
6000000.0,6,88
6000000.0,6,89
6000000.0,6,90
6000000.0,6,91
6000000.0,8,87
6000000.0,8,88
6000000.0,8,89
6000000.0,8,90
6000000.0,8,91
6000000.0,10,87
6000000.0,10,88
6000000.0,10,89
6000000.0,10,90
6000000.0,10,91
6000000.0,12,87
6000000.0,12,88
6000000.0,12,89
6000000.0,12,90
6000000.0,12,91
6000000.0,14,87
6000000.0,14,88
6000000.0,14,89
6000000.0,14,90
6000000.0,14,91
6000000.0,16,87
6000000.0,16,88
6000000.0,16,89
6000000.0,16,90
6000000.0,16,91
6000000.0,18,87
6000000.0,18,88
6000000.0,18,89
6000000.0,18,90
6000000.0,18,91
6000000.0,20,87
6000000.0,20,88
6000000.0,20,89
6000000.0,20,90
6000000.0,20,91
6000000.0,22,87
6000000.0,22,88
6000000.0,22,89
6000000.0,22,90
6000000.0,22,91
6000000.0,24,87
6000000.0,24,88
6000000.0,24,89
6000000.0,24,90
6000000.0,24,91
6000000.0,26,87
6000000.0,26,88
6000000.0,26,89
6000000.0,26,90
6000000.0,26,91
6000000.0,28,87
6000000.0,28,88
6000000.0,28,89
6000000.0,28,90
6000000.0,28,91
6000000.0,30,87
6000000.0,30,88
6000000.0,30,89
6000000.0,30,90
6000000.0,30,91
6000000.0,32,87
6000000.0,32,88
6000000.0,32,89
6000000.0,32,90
6000000.0,32,91
6000000.0,34,87
6000000.0,34,88
6000000.0,34,89
6000000.0,34,90
6000000.0,34,91
6000000.0,36,87
6000000.0,36,88
6000000.0,36,89
6000000.0,36,90
6000000.0,36,91
6000000.0,38,87
6000000.0,38,88
6000000.0,38,89
6000000.0,38,90
6000000.0,38,91
6000000.0,40,87
6000000.0,40,88
6000000.0,40,89
6000000.0,40,90
6000000.0,40,91
7000000.0,0,87
7000000.0,0,88
7000000.0,0,89
7000000.0,0,90
7000000.0,0,91
7000000.0,2,87
