latitude_pos_tx,longitude_pos_tx,elevation_pos_tx,fc,elevation,azimuth,year,mmdd,UTI,hour,delay,terrestrial_range,slant_range,final_latitude,final_longitude,final_elevation,latitudes,longitudes,elevations
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.280000450453734,-63.400008367223265,0.0
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.28498648388558,-63.35204678066052,348.6328125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.28497282457173,-63.35203995100361,351.0742188002914
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.28993154510547,-63.30407835871129,702.1484375
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.280000450453734,-63.400008367223265,0.0
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.28993154510547,-63.30407835871129,702.1484375
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.31924671296938,-63.016226866263125,2868.6523438002914
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.35716792464012,-62.632329255405814,5896.484375
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.39377773905021,-62.248349682935924,9083.496093800291
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.429062496885805,-61.864322291408435,12429.199218800291
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.463035857460746,-61.480281246296684,15933.59375
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.4956841614612,-61.096260690155695,19596.19140619971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.527021068200995,-60.712301606656546,23416.9921875
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.55703291836633,-60.32843131442691,27395.5078125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.58573337700056,-59.94468396748095,31531.73828119971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.613108773330744,-59.56110054376018,35824.70703119971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.639172778129854,-59.17770836762183,40274.90234380029
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.663925379938725,-58.79454841127787,44881.34765619971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.687366590216534,-58.41164801054468,49644.04296880029
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.70949640323368,-58.0290481319046,54562.5
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.730314818990166,-57.646776105444474,59636.71875
