Frequency,dB
1.0,-0.713508379877
1.0080000162125,-0.72647796920666
1.0160000324249,-0.7386405332478
1.0240000486374,-0.74996872094686
1.0319999456406,-0.76044284928515
1.039999961853,-0.77005451639901
1.0479999780655,-0.77880383450213
1.055999994278,-0.78670029471199
1.0640000104904,-0.79376303196589
1.0720000267029,-0.80001899697051
1.0800000429153,-0.80550723421569
1.0880000591278,-0.81027008899717
1.095999956131,-0.81436189030665
1.1039999723434,-0.81784013315949
1.1119999885559,-0.82077193848334
1.1200000047684,-0.82323002676441
1.1280000209808,-0.82528846473548
1.1360000371933,-0.82703062839795
1.1440000534058,-0.82854269641877
1.1519999504089,-0.8299107242805
1.1599999666214,-0.83122532233659
1.1679999828339,-0.83257957447303
1.1759999990463,-0.83406541068763
1.1840000152588,-0.83577606672
1.1920000314713,-0.83780528618339
1.2000000476837,-0.84024638909076
1.2079999446869,-0.84318443848935
1.2159999608994,-0.84671292152355
1.2239999771118,-0.85091390488151
1.2319999933243,-0.85587361521851
1.2400000095367,-0.86166820342314
1.2480000257492,-0.86837378805781
1.2560000419617,-0.87606260965037
1.2640000581741,-0.88480237561722
1.2719999551773,-0.8946532630638
1.2799999713898,-0.90567472266524
1.2879999876022,-0.91791776502393
1.2960000038147,-0.93143187058902
1.3040000200272,-0.9462565478037
1.3120000362396,-0.96242875981204
1.3200000524521,-0.97998046343966
1.3279999494553,-0.99893751371
1.3359999656677,-1.0193188500456
1.3439999818802,-1.0411391391397
1.3519999980927,-1.0644077816284
1.3600000143051,-1.0891268970855
1.3680000305176,-1.1152960166943
1.37600004673,-1.1429069057239
1.3839999437332,-1.1719457669203
1.3919999599457,-1.2023961109745
1.3999999761581,-1.2342335171014
1.4079999923706,-1.2674312470908
1.4160000085831,-1.3019560080261
1.4240000247955,-1.3377717703999
1.432000041008,-1.3748347879201
1.4400000572205,-1.4131018215236
1.4479999542236,-1.4525218759714
1.4559999704361,-1.4930435823502
1.4639999866486,-1.5346091756979
1.472000002861,-1.5771597834718
1.4800000190735,-1.6206355070255
1.4880000352859,-1.6649706283037
1.4960000514984,-1.7101014285958
1.5039999485016,-1.7559593956368
1.5119999647141,-1.8024786489929
1.5199999809265,-1.8495897792621
1.527999997139,-1.8972262496747
1.5360000133514,-1.945319511679
1.5440000295639,-1.9938050040786
1.5520000457764,-2.0426185954579
1.5599999427795,-2.0916967377206
1.567999958992,-2.1409807569525
1.5759999752045,-2.1904168332126
1.5839999914169,-2.2399505621608
1.5920000076294,-2.2895358634231
1.6000000238419,-2.339130721959
1.6080000400543,-2.3886977951915
1.6160000562668,-2.4382059545824
1.62399995327,-2.4876304055525
1.6319999694824,-2.5369539967125
1.6399999856949,-2.5861634522087
1.6480000019073,-2.6352573753856
1.6560000181198,-2.6842403837329
1.6640000343323,-2.7331212648045
1.6720000505447,-2.7819211420599
1.6799999475479,-2.8306678945399
1.6879999637604,-2.8793959396114
1.6959999799728,-2.9281486131683
1.7039999961853,-2.9769764081236
1.7120000123978,-3.0259393177772
1.7200000286102,-3.0751023313713
1.7280000448227,-3.1245383720241
1.7359999418259,-3.1743291741426
1.7439999580383,-3.2245589521941
1.7519999742508,-3.275320345715
1.7599999904633,-3.3267110978699
1.7680000066757,-3.3788375393764
1.7760000228882,-3.4318059844906
1.7840000391006,-3.4857291417499
1.7920000553131,-3.5407250940692
1.7999999523163,-3.5969134069259
1.8079999685287,-3.6544189338094
1.8159999847412,-3.7133682379658
1.8240000009537,-3.7738894106176
1.8320000171661,-3.8361150149334
1.8400000333786,-3.9001776008968
1.8480000495911,-3.9662106445362
1.8559999465942,-4.034351403995
1.8639999628067,-4.1047355308843
1.8719999790192,-4.1775001661171
1.8799999952316,-4.2527823125696
1.8880000114441,-4.3307219734363
1.8960000276566,-4.4114555979237
1.904000043869,-4.4951237877765
1.9119999408722,-4.5818624428033
1.9199999570847,-4.6718133916014
1.9279999732971,-4.7651139695253
1.9359999895096,-4.8619044969988
1.944000005722,-4.9623231894812
1.9520000219345,-5.0665109060042
1.960000038147,-5.1746076154935
1.9680000543594,-5.2867530742327
1.9759999513626,-5.403090012845
1.9839999675751,-5.5237638445347
1.9919999837875,-5.6489161216785
2.0,-5.7786935653857
2.0079998970032,-5.9132442142526
2.0160000324249,-6.0527187260416
2.0239999294281,-6.1972700371898
2.0320000648499,-6.3470543609052
2.039999961853,-6.502231542123
2.0480000972748,-6.6629665497092
2.055999994278,-6.8294267212782
2.0639998912811,-7.0017869576273
2.0720000267029,-7.1802268160055
2.0799999237061,-7.3649330950055
2.0880000591278,-7.5560987673946
2.095999956131,-7.7539275678309
2.1040000915527,-7.9586297293854
2.1119999885559,-8.1704280630846
2.1199998855591,-8.3895547306382
2.1280000209808,-8.6162567469672
2.135999917984,-8.8507940681208
2.1440000534058,-9.0934421365397
2.1519999504089,-9.3444959495767
2.1600000858307,-9.6042674560865
2.1679999828339,-9.8730931986103
2.1760001182556,-10.151330627753
2.1840000152588,-10.439370714123
2.191999912262,-10.737628223457
2.2000000476837,-11.046556756077
2.2079999446869,-11.366646874527
2.2160000801086,-11.698435408371
2.2239999771118,-12.042508368443
2.2320001125336,-12.399505069572
2.2400000095367,-12.770134014157
2.2479999065399,-13.155174723045
2.2560000419617,-13.555489740782
2.2639999389648,-13.972042977516
2.2720000743866,-14.4059054806
2.2799999713898,-14.858281554896
2.2880001068115,-15.33052421572
2.2960000038147,-15.824162135402
2.3039999008179,-16.340930325083
2.3120000362396,-16.882801649656
2.3199999332428,-17.452032567877
2.3280000686646,-18.051209473552
2.3359999656677,-18.68330720156
2.3440001010895,-19.351747318906
2.3519999980927,-20.060466836275
2.3599998950958,-20.813973201441
2.3680000305176,-21.617365500469
2.3759999275208,-22.476284938194
2.3840000629425,-23.396658667298
2.3919999599457,-24.384040405743
2.4000000953674,-25.442032385557
2.4079999923706,-26.568860654821
2.4159998893738,-27.750218983654
2.4240000247955,-28.945608812243
2.4319999217987,-30.066832605906
2.4400000572205,-30.959912305676
2.4479999542236,-31.432463354436
2.4560000896454,-31.364701450561
2.4639999866486,-30.812095555938
2.4719998836517,-29.954770984807
2.4800000190735,-28.969377724867
2.4879999160767,-27.968839907993
2.4960000514984,-27.009288622823
2.5039999485016,-26.112964296815
2.5120000839233,-25.285115425468
2.5199999809265,-24.523377619837
2.5280001163483,-23.822387434064
